,Country,Year,Status,Life.expectancy,Adult.Mortality,infant.deaths,Alcohol,percentage.expenditure,Hepatitis.B,Measles,BMI,under.five.deaths,Polio,Total.expenditure,Diphtheria,HIV.AIDS,GDP,Population,thinness..1.19.years,thinness.5.9.years,Income.composition.of.resources,Schooling
2,Afghanistan,2014,Developing,59.9,271,64,0.01,73.52358168,62,492,18.6,86,58,8.18,62,0.1,612.696514,327582,17.5,17.5,0.476,10
18,Albania,2014,Developing,77.5,8,0,4.51,428.7490668,98,0,57.2,1,98,5.88,98,0.1,4575.763787,288914,1.2,1.3,0.761,14.2
34,Algeria,2014,Developing,75.4,11,21,0.01,54.2373183,95,0,58.4,24,95,7.21,95,0.1,547.8517,39113313,6,5.8,0.741,14.4
50,Angola,2014,Developing,51.7,348,67,8.33,23.965612,64,11699,22.7,101,68,3.31,64,2,479.31224,2692466,8.5,8.3,0.527,11.4
66,Antigua and Barbuda,2014,Developing,76.2,131,0,8.56,2422.999774,99,0,47,0,96,5.54,99,0.2,12888.29667,#N/A,3.3,3.3,0.782,13.9
82,Argentina,2014,Developing,76.2,118,8,7.93,847.3717463,94,1,62.2,9,92,4.79,94,0.1,12245.25645,42981515,1,0.9,0.825,17.3
98,Armenia,2014,Developing,74.6,12,1,3.91,295.6087143,93,13,54.1,1,95,4.48,93,0.1,3994.712355,29622,2.1,2.1,0.739,12.7
114,Australia,2014,Developed,82.7,6,1,9.71,10769.36305,91,340,66.1,1,92,9.42,92,0.1,62214.6912,2346694,0.6,0.6,0.936,20.4
130,Austria,2014,Developed,81.4,66,0,12.32,8350.193523,98,117,57.1,0,98,11.21,98,0.1,51322.63997,8541575,1.8,2,0.892,15.9
146,Azerbaijan,2014,Developing,72.5,119,5,0.01,306.1824313,94,0,51.5,6,97,6.4,94,0.1,7891.299776,953579,2.8,2.9,0.752,12.2
162,Bahamas,2014,Developing,75.4,16,0,9.45,0,96,0,63.8,0,96,7.74,96,0.1,#N/A,#N/A,2.5,2.5,0.789,12.6
178,Bahrain,2014,Developing,76.8,7,0,1.57,367.2556742,98,46,62.9,0,98,4.98,98,0.1,24983.3792,#N/A,6.1,6,0.82,14.5
194,Bangladesh,2014,Developing,71.4,132,98,0.01,10.44640334,97,289,17.7,121,97,2.82,97,0.1,184.56543,15945279,18.1,18.6,0.57,10
210,Barbados,2014,Developing,75.4,1,0,8.82,294.9056584,94,0,53.7,0,95,7.47,94,0.1,15359.66971,#N/A,3.8,3.7,0.793,15.3
226,Belarus,2014,Developing,72,199,0,13.94,1147.1114,97,64,61.7,0,97,5.69,97,0.1,8318.429294,9474511,1.9,2,0.796,15.7
242,Belgium,2014,Developed,89,76,0,12.6,7163.348923,98,70,63.4,1,99,1.59,99,0.1,47439.39684,112957,1,1,0.89,16.3
258,Belize,2014,Developing,70,177,0,6.58,670.0920883,95,0,5.1,0,95,5.79,95,0.2,4852.223666,351694,3.4,3.4,0.705,12.8
274,Benin,2014,Developing,59.7,252,25,0.01,90.12206791,78,786,25.2,39,74,4.59,78,1.1,943.686575,1286712,7.1,6.9,0.475,10.7
290,Bhutan,2014,Developing,69.4,216,0,0.01,209.3921344,99,0,23.6,1,98,3.57,99,0.5,2522.7968,776448,15.7,16.2,0.596,12.5
306,Bolivia (Plurinational State of),2014,Developing,74,189,8,3.62,0,98,0,51.9,10,99,6.33,98,0.1,#N/A,#N/A,1.2,1.1,0.666,13.8
322,Bosnia and Herzegovina,2014,Developing,77.2,89,0,4.03,732.8662491,89,3000,55.3,0,86,9.57,86,0.1,5193.94932,35662,2.4,2.4,0.742,14.2
338,Botswana,2014,Developing,65.1,268,2,0.01,662.802194,95,1,37.3,2,96,5.41,95,2.3,7497.762376,2168573,6.7,6.4,0.697,12.6
354,Brazil,2014,Developing,74.8,144,44,7.32,83.16465362,96,876,55.3,49,96,8.32,93,0.1,1226.61731,24213133,2.7,2.7,0.747,15.2
370,Brunei Darussalam,2014,Developing,77.6,8,0,0.01,269.1432784,99,1,4.2,0,99,2.65,99,0.1,4159.8652,#N/A,5.7,5.2,0.863,15
386,Bulgaria,2014,Developed,74.3,138,1,12.03,153.1400362,95,0,65.1,1,88,8.44,88,0.1,7853.335191,7223938,1.9,1.9,0.787,14.8
402,Burkina Faso,2014,Developing,59.3,268,39,0.01,8.386339501,91,343,18.8,63,91,4.96,91,0.6,75.1464113,17585977,8.2,7.7,0.398,7.7
418,Burundi,2014,Developing,59.1,297,22,0.01,41.25159038,95,0,18.2,32,95,7.54,95,0.7,312.7489794,989179,7.4,7.3,0.404,10.6
434,C̫te d'Ivoire,2014,Developing,52.8,47,58,0.01,0,76,50,27.4,80,76,5.72,76,2,#N/A,#N/A,5.6,5.6,#N/A,#N/A
450,Cabo Verde,2014,Developing,73,117,0,0.01,414.0242418,97,0,3.5,0,95,4.76,95,0.2,3529.61843,526437,6.8,6.7,0.643,13.5
466,Cambodia,2014,Developing,68.3,179,11,0.01,12.17952064,88,0,18.9,12,87,5.68,88,0.2,198.687123,152779,1.9,11,0.553,10.9
482,Cameroon,2014,Developing,56.7,366,47,0.01,61.39263642,87,831,28.4,71,86,4.1,87,3.7,1441.1417,2223994,5.7,5.7,0.507,10.4
498,Canada,2014,Developing,82,65,2,8.1,102.1902168,55,418,66.4,2,91,1.45,91,0.1,544.43376,35544564,0.5,0.5,0.912,15.9
